Service,City,City & Neighborhoods
Traditional,Redwood City,"Redwood City: Centennial, Downtown Redwood City, Emerald Hills, Redwood Shores, Woodside Plaza"
Traditional,San Bruno,"San Bruno: Crestmoor, Downtown San Bruno, Huntington, Rollingwood"
Traditional,San Carlos,"San Carlos: Brittan Acres, Eaton Park, Laureola Park, Pulgas Ridge"
Traditional,San Mateo,"San Mateo: Baywood, Beresford, Central San Mateo, Hillsdale, North Central San Mateo, San Mateo Park"
Traditional,South San Francisco,"South San Francisco: Buri Buri, Downtown South San Francisco, El Camino Real, Westborough"
Traditional,Woodside,"Woodside: Emerald Hills, Kings Mountain, Woodside Heights, Woodside Glens"
Rustic,Alameda,"Alameda: ""Bay Farm Island, Fernside, Mastick, Park Street, Southshore, Webster Street"""
Rustic,Albany,"Albany: ""Albany Hill, Codornices Village, Dartmouth, El Cerrito Hills, Thousand Oaks"""
Rustic,Berkeley,"Berkeley: Bateman, Berkeley Hills, Claremont, Downtown Berkeley, Elmwood, Gourmet Ghetto, Halcyon, Hearst, Hopkins, Live Oak, Lorin, North Berkeley, Northwest Berkeley, Panoramic Hill, Poet's Corner, Southside, Westbrae"
Rustic,Dublin,"Dublin: Dougherty Valley, Dublin Ranch, Fallon Village, Positano Hills, Tassajara Crossing"
Rustic,Emeryville,"Emeryville: Emeryville Crescent, Emeryville Greenway, Emeryville Marina, Emeryville Warehouse District, Hollis Street District, Watergate"
Rustic,Fremont,"Fremont: Ardenwood, Centerville, Irvington, Niles, Northgate, Mission San Jose, Warm Springs"
Rustic,Hayward,"Hayward: Burbank, Fairview, Hayward Hills, Mount Eden, Palma Ceia, Tennyson Highlands, Winton"
Rustic,Livermore,"Livermore: Altamont, Downtown Livermore, East Livermore, North Livermore, Ruby Hill, South Livermore, Springtown"
Rustic,Newark,"Newark: Centerville, Lakeshore, Mayhews, Newpark, Thornton"
Rustic,Oakland,"Oakland: Adams Point, Chinatown, Dimond District, Downtown Oakland, East Oakland, Fruitvale, Grand Lake, Glenview, Hiller Highlands, Jack London Square, Lakeshore, Laurel District, Montclair, North Oakland, Piedmont Avenue, Rockridge, Temescal, Uptown Oakland, West Oakland"
Rustic,Piedmont,"Piedmont: Piedmont Pines, Piedmont Highlands, Piedmont Hills, Piedmont Meadow"
Rustic,Pleasanton,"Pleasanton: Bernal Avenue, Downtown Pleasanton, Hacienda Business Park, Kottinger Ranch, Laguna Oaks, Mohr Park, Ruby Hill, Stoneridge"
Rustic,San Leandro,"San Leandro: Broadmoor, Estudillo Estates, Heron Bay, Marina Faire, Mulford Gardens, Pelton Center, San Leandro Shoreline"
Rustic,Union City,"Union City: Alvarado, Decoto, Hillview Crest, Horner-Veasy, Searles"
Rustic,Ashland,"Ashland: Ashland Village, Cherryland, Fairmont Terrace, Fairmont Ridge, Fairmont Terrace, Fairview"
Rustic,Castro Valley,"Castro Valley: Castro Valley Canyonlands, Castro Valley Foothills, Castro Valley Knolls, Castro Valley Residential, Cull Canyon, Five Canyons, Palomares Canyon, Proctor Canyon, Quail Canyon, Redwood Road Corridor, Seaview"
Rustic,Cherryland,"Cherryland: Cherryland Acres, Cherryland Estates, Cherryland Highlands, Cherryland Park, Cherryland Village"
Rustic,Fairview,"Fairview: Fairview Acres, Fairview Knolls, Fairview Meadows, Fairview Park, Fairview Terrace"
Rustic,Hillcrest Knolls,"Hillcrest Knolls: Hillcrest Knolls North, Hillcrest Knolls South"
Rustic,San Lorenzo,"San Lorenzo: Bohannon, Brannigan, Cherryland, Hesperian, Palomares, Redwood Shores, Springlake"
Rustic,Sunol,"Sunol: Sunol Glen, Sunol Junction, Sunol Valley"
Rustic,Campbell,"Campbell: Downtown Campbell, Hacienda, Orchard City, Pruneyard"
Rustic,Cupertino,"Cupertino: Cupertino Village, Monta Vista, Rancho Rinconada, Seven Springs, Vallco Park"
Rustic,Gilroy,"Gilroy: Downtown Gilroy, El Cerrito, Las Animas, Monterey Road Corridor, Pacheco Pass"
Rustic,Los Altos,"Los Altos: Country Club, Downtown Los Altos, Loyola Corners, Woodland Acres"
Rustic,Los Altos Hills,"Los Altos Hills: Byrne Park, Country Club, Fremont Hills, Westwind"
Rustic,Los Gatos,"Los Gatos: Almond Grove, Broadway, Downtown Los Gatos, Glenridge, Vasona Park"
Rustic,Milpitas,"Milpitas: Abel, Calaveras, Dixon Landing, Milpitas Town Center, Rancho Milpitas"
Rustic,Monte Sereno,"Monte Sereno: Blackberry Hill, Daves Avenue, Montalvo Hills, Overlook"
Rustic,Morgan Hill,"Morgan Hill: Downtown Morgan Hill, East Dunne, Madrone, Paradise Valley, West Dunne"
Rustic,Mountain View,"Mountain View: Blossom Valley, Castro City, Cuesta Park, Moffett Federal Airfield, North Bayshore, Shoreline West"
Rustic,Palo Alto,"Palo Alto: Barron Park, College Terrace, Downtown North, Evergreen Park, Midtown, Professorville, University South"
Rustic,San Jose,"San Jose: Alum Rock, Berryessa, Cambrian Park, Evergreen, Japantown, Naglee Park, Rose Garden, Willow Glen"
Rustic,Santa Clara,"Santa Clara: Agnew, Central Park, Lawrence Station, Mission College, Santa Clara University"
Rustic,Saratoga,"Saratoga: Blue Hills, Brookside, Saratoga Village, Wildcat Ridge"
Rustic,Sunnyvale,"Sunnyvale: Lakewood, Mango, Murphy, Old Quad, Tasman Crossing"
Rustic,Atherton,"Atherton: Lindenwood, Lloyden Park, West Atherton"
Rustic,Belmont,"Belmont: Belmont Shores, Carlmont, Cipriani, Homestead, Nesbit"
Rustic,Brisbane,"Brisbane: Brisbane Acres, Crocker Park, Guadalupe Hills, Sierra Point"
Rustic,Burlingame,"Burlingame: Burlingame Hills, Downtown Burlingame, Easton Addition, Hillsborough Knolls, Terrace"
Rustic,Colma,"Colma: Colma Valley, Lawndale, Mission Road Corridor, Serramonte"
Rustic,Daly City,"Daly City: Bayshore, Crocker, Hillside, Westlake"
Rustic,East Palo Alto,"East Palo Alto: East Palo Alto Ravenswood, Menlo Park Acres, University Village"
Rustic,Foster City,"Foster City: Marlin Cove, Shell Ridge, Triton Shores"
Rustic,Half Moon Bay,"Half Moon Bay: Downtown Half Moon Bay, Miramar, North Wavecrest, Pilarcitos"
Rustic,Hillsborough,"Hillsborough: Black Mountain, Crocker, Skyfarm, West Hillsborough"
Rustic,Menlo Park,"Menlo Park: Belle Haven, Downtown Menlo Park, Felton Gables, Linfield Oaks, Sharon Heights"
Rustic,Millbrae,"Millbrae: Millbrae Meadows, Millbrae Station, Taylor Middle School"
Rustic,Pacifica,"Pacifica: Calera Creek, Fairmont, Rockaway Beach, Sharp Park, Vallemar"
Rustic,Portola Valley,"Portola Valley: Corte Madera, Ladera, Los Trancos Woods, Woodside Glens"
Rustic,Redwood City,"Redwood City: Centennial, Downtown Redwood City, Emerald Hills, Redwood Shores, Woodside Plaza"
Rustic,San Bruno,"San Bruno: Crestmoor, Downtown San Bruno, Huntington, Rollingwood"
Rustic,San Carlos,"San Carlos: Brittan Acres, Eaton Park, Laureola Park, Pulgas Ridge"
Rustic,San Mateo,"San Mateo: Baywood, Beresford, Central San Mateo, Hillsdale, North Central San Mateo, San Mateo Park"
Rustic,South San Francisco,"South San Francisco: Buri Buri, Downtown South San Francisco, El Camino Real, Westborough"
Rustic,Woodside,"Woodside: Emerald Hills, Kings Mountain, Woodside Heights, Woodside Glens"
Coastal,Alameda,"Alameda: ""Bay Farm Island, Fernside, Mastick, Park Street, Southshore, Webster Street"""
Coastal,Albany,"Albany: ""Albany Hill, Codornices Village, Dartmouth, El Cerrito Hills, Thousand Oaks"""
Coastal,Berkeley,"Berkeley: Bateman, Berkeley Hills, Claremont, Downtown Berkeley, Elmwood, Gourmet Ghetto, Halcyon, Hearst, Hopkins, Live Oak, Lorin, North Berkeley, Northwest Berkeley, Panoramic Hill, Poet's Corner, Southside, Westbrae"
Coastal,Dublin,"Dublin: Dougherty Valley, Dublin Ranch, Fallon Village, Positano Hills, Tassajara Crossing"
Coastal,Emeryville,"Emeryville: Emeryville Crescent, Emeryville Greenway, Emeryville Marina, Emeryville Warehouse District, Hollis Street District, Watergate"
Coastal,Fremont,"Fremont: Ardenwood, Centerville, Irvington, Niles, Northgate, Mission San Jose, Warm Springs"
Coastal,Hayward,"Hayward: Burbank, Fairview, Hayward Hills, Mount Eden, Palma Ceia, Tennyson Highlands, Winton"
Coastal,Livermore,"Livermore: Altamont, Downtown Livermore, East Livermore, North Livermore, Ruby Hill, South Livermore, Springtown"
Coastal,Newark,"Newark: Centerville, Lakeshore, Mayhews, Newpark, Thornton"
Coastal,Oakland,"Oakland: Adams Point, Chinatown, Dimond District, Downtown Oakland, East Oakland, Fruitvale, Grand Lake, Glenview, Hiller Highlands, Jack London Square, Lakeshore, Laurel District, Montclair, North Oakland, Piedmont Avenue, Rockridge, Temescal, Uptown Oakland, West Oakland"
Coastal,Piedmont,"Piedmont: Piedmont Pines, Piedmont Highlands, Piedmont Hills, Piedmont Meadow"
Coastal,Pleasanton,"Pleasanton: Bernal Avenue, Downtown Pleasanton, Hacienda Business Park, Kottinger Ranch, Laguna Oaks, Mohr Park, Ruby Hill, Stoneridge"
Coastal,San Leandro,"San Leandro: Broadmoor, Estudillo Estates, Heron Bay, Marina Faire, Mulford Gardens, Pelton Center, San Leandro Shoreline"
Coastal,Union City,"Union City: Alvarado, Decoto, Hillview Crest, Horner-Veasy, Searles"
Coastal,Ashland,"Ashland: Ashland Village, Cherryland, Fairmont Terrace, Fairmont Ridge, Fairmont Terrace, Fairview"
Coastal,Castro Valley,"Castro Valley: Castro Valley Canyonlands, Castro Valley Foothills, Castro Valley Knolls, Castro Valley Residential, Cull Canyon, Five Canyons, Palomares Canyon, Proctor Canyon, Quail Canyon, Redwood Road Corridor, Seaview"
Coastal,Cherryland,"Cherryland: Cherryland Acres, Cherryland Estates, Cherryland Highlands, Cherryland Park, Cherryland Village"
Coastal,Fairview,"Fairview: Fairview Acres, Fairview Knolls, Fairview Meadows, Fairview Park, Fairview Terrace"
Coastal,Hillcrest Knolls,"Hillcrest Knolls: Hillcrest Knolls North, Hillcrest Knolls South"
Coastal,San Lorenzo,"San Lorenzo: Bohannon, Brannigan, Cherryland, Hesperian, Palomares, Redwood Shores, Springlake"
Coastal,Sunol,"Sunol: Sunol Glen, Sunol Junction, Sunol Valley"
Coastal,Campbell,"Campbell: Downtown Campbell, Hacienda, Orchard City, Pruneyard"
Coastal,Cupertino,"Cupertino: Cupertino Village, Monta Vista, Rancho Rinconada, Seven Springs, Vallco Park"
Coastal,Gilroy,"Gilroy: Downtown Gilroy, El Cerrito, Las Animas, Monterey Road Corridor, Pacheco Pass"
Coastal,Los Altos,"Los Altos: Country Club, Downtown Los Altos, Loyola Corners, Woodland Acres"
Coastal,Los Altos Hills,"Los Altos Hills: Byrne Park, Country Club, Fremont Hills, Westwind"
Coastal,Los Gatos,"Los Gatos: Almond Grove, Broadway, Downtown Los Gatos, Glenridge, Vasona Park"
Coastal,Milpitas,"Milpitas: Abel, Calaveras, Dixon Landing, Milpitas Town Center, Rancho Milpitas"
Coastal,Monte Sereno,"Monte Sereno: Blackberry Hill, Daves Avenue, Montalvo Hills, Overlook"
Coastal,Morgan Hill,"Morgan Hill: Downtown Morgan Hill, East Dunne, Madrone, Paradise Valley, West Dunne"
Coastal,Mountain View,"Mountain View: Blossom Valley, Castro City, Cuesta Park, Moffett Federal Airfield, North Bayshore, Shoreline West"
Coastal,Palo Alto,"Palo Alto: Barron Park, College Terrace, Downtown North, Evergreen Park, Midtown, Professorville, University South"
Coastal,San Jose,"San Jose: Alum Rock, Berryessa, Cambrian Park, Evergreen, Japantown, Naglee Park, Rose Garden, Willow Glen"
Coastal,Santa Clara,"Santa Clara: Agnew, Central Park, Lawrence Station, Mission College, Santa Clara University"
Coastal,Saratoga,"Saratoga: Blue Hills, Brookside, Saratoga Village, Wildcat Ridge"
Coastal,Sunnyvale,"Sunnyvale: Lakewood, Mango, Murphy, Old Quad, Tasman Crossing"
Coastal,Atherton,"Atherton: Lindenwood, Lloyden Park, West Atherton"
Coastal,Belmont,"Belmont: Belmont Shores, Carlmont, Cipriani, Homestead, Nesbit"
Coastal,Brisbane,"Brisbane: Brisbane Acres, Crocker Park, Guadalupe Hills, Sierra Point"
Coastal,Burlingame,"Burlingame: Burlingame Hills, Downtown Burlingame, Easton Addition, Hillsborough Knolls, Terrace"
Coastal,Colma,"Colma: Colma Valley, Lawndale, Mission Road Corridor, Serramonte"
Coastal,Daly City,"Daly City: Bayshore, Crocker, Hillside, Westlake"
Coastal,East Palo Alto,"East Palo Alto: East Palo Alto Ravenswood, Menlo Park Acres, University Village"
Coastal,Foster City,"Foster City: Marlin Cove, Shell Ridge, Triton Shores"
Coastal,Half Moon Bay,"Half Moon Bay: Downtown Half Moon Bay, Miramar, North Wavecrest, Pilarcitos"
Coastal,Hillsborough,"Hillsborough: Black Mountain, Crocker, Skyfarm, West Hillsborough"
Coastal,Menlo Park,"Menlo Park: Belle Haven, Downtown Menlo Park, Felton Gables, Linfield Oaks, Sharon Heights"
Coastal,Millbrae,"Millbrae: Millbrae Meadows, Millbrae Station, Taylor Middle School"
Coastal,Pacifica,"Pacifica: Calera Creek, Fairmont, Rockaway Beach, Sharp Park, Vallemar"
Coastal,Portola Valley,"Portola Valley: Corte Madera, Ladera, Los Trancos Woods, Woodside Glens"
Coastal,Redwood City,"Redwood City: Centennial, Downtown Redwood City, Emerald Hills, Redwood Shores, Woodside Plaza"
Coastal,San Bruno,"San Bruno: Crestmoor, Downtown San Bruno, Huntington, Rollingwood"
Coastal,San Carlos,"San Carlos: Brittan Acres, Eaton Park, Laureola Park, Pulgas Ridge"
Coastal,San Mateo,"San Mateo: Baywood, Beresford, Central San Mateo, Hillsdale, North Central San Mateo, San Mateo Park"
Coastal,South San Francisco,"South San Francisco: Buri Buri, Downtown South San Francisco, El Camino Real, Westborough"
Coastal,Woodside,"Woodside: Emerald Hills, Kings Mountain, Woodside Heights, Woodside Glens"
Mediterranean,Alameda,"Alameda: ""Bay Farm Island, Fernside, Mastick, Park Street, Southshore, Webster Street"""
Mediterranean,Albany,"Albany: ""Albany Hill, Codornices Village, Dartmouth, El Cerrito Hills, Thousand Oaks"""
Mediterranean,Berkeley,"Berkeley: Bateman, Berkeley Hills, Claremont, Downtown Berkeley, Elmwood, Gourmet Ghetto, Halcyon, Hearst, Hopkins, Live Oak, Lorin, North Berkeley, Northwest Berkeley, Panoramic Hill, Poet's Corner, Southside, Westbrae"
Mediterranean,Dublin,"Dublin: Dougherty Valley, Dublin Ranch, Fallon Village, Positano Hills, Tassajara Crossing"
Mediterranean,Emeryville,"Emeryville: Emeryville Crescent, Emeryville Greenway, Emeryville Marina, Emeryville Warehouse District, Hollis Street District, Watergate"
Mediterranean,Fremont,"Fremont: Ardenwood, Centerville, Irvington, Niles, Northgate, Mission San Jose, Warm Springs"
Mediterranean,Hayward,"Hayward: Burbank, Fairview, Hayward Hills, Mount Eden, Palma Ceia, Tennyson Highlands, Winton"
Mediterranean,Livermore,"Livermore: Altamont, Downtown Livermore, East Livermore, North Livermore, Ruby Hill, South Livermore, Springtown"
Mediterranean,Newark,"Newark: Centerville, Lakeshore, Mayhews, Newpark, Thornton"
Mediterranean,Oakland,"Oakland: Adams Point, Chinatown, Dimond District, Downtown Oakland, East Oakland, Fruitvale, Grand Lake, Glenview, Hiller Highlands, Jack London Square, Lakeshore, Laurel District, Montclair, North Oakland, Piedmont Avenue, Rockridge, Temescal, Uptown Oakland, West Oakland"
Mediterranean,Piedmont,"Piedmont: Piedmont Pines, Piedmont Highlands, Piedmont Hills, Piedmont Meadow"
Mediterranean,Pleasanton,"Pleasanton: Bernal Avenue, Downtown Pleasanton, Hacienda Business Park, Kottinger Ranch, Laguna Oaks, Mohr Park, Ruby Hill, Stoneridge"
Mediterranean,San Leandro,"San Leandro: Broadmoor, Estudillo Estates, Heron Bay, Marina Faire, Mulford Gardens, Pelton Center, San Leandro Shoreline"
Mediterranean,Union City,"Union City: Alvarado, Decoto, Hillview Crest, Horner-Veasy, Searles"
Mediterranean,Ashland,"Ashland: Ashland Village, Cherryland, Fairmont Terrace, Fairmont Ridge, Fairmont Terrace, Fairview"
Mediterranean,Castro Valley,"Castro Valley: Castro Valley Canyonlands, Castro Valley Foothills, Castro Valley Knolls, Castro Valley Residential, Cull Canyon, Five Canyons, Palomares Canyon, Proctor Canyon, Quail Canyon, Redwood Road Corridor, Seaview"
Mediterranean,Cherryland,"Cherryland: Cherryland Acres, Cherryland Estates, Cherryland Highlands, Cherryland Park, Cherryland Village"
Mediterranean,Fairview,"Fairview: Fairview Acres, Fairview Knolls, Fairview Meadows, Fairview Park, Fairview Terrace"
Mediterranean,Hillcrest Knolls,"Hillcrest Knolls: Hillcrest Knolls North, Hillcrest Knolls South"
Mediterranean,San Lorenzo,"San Lorenzo: Bohannon, Brannigan, Cherryland, Hesperian, Palomares, Redwood Shores, Springlake"
Mediterranean,Sunol,"Sunol: Sunol Glen, Sunol Junction, Sunol Valley"
Mediterranean,Campbell,"Campbell: Downtown Campbell, Hacienda, Orchard City, Pruneyard"
Mediterranean,Cupertino,"Cupertino: Cupertino Village, Monta Vista, Rancho Rinconada, Seven Springs, Vallco Park"
Mediterranean,Gilroy,"Gilroy: Downtown Gilroy, El Cerrito, Las Animas, Monterey Road Corridor, Pacheco Pass"
Mediterranean,Los Altos,"Los Altos: Country Club, Downtown Los Altos, Loyola Corners, Woodland Acres"
Mediterranean,Los Altos Hills,"Los Altos Hills: Byrne Park, Country Club, Fremont Hills, Westwind"
Mediterranean,Los Gatos,"Los Gatos: Almond Grove, Broadway, Downtown Los Gatos, Glenridge, Vasona Park"
Mediterranean,Milpitas,"Milpitas: Abel, Calaveras, Dixon Landing, Milpitas Town Center, Rancho Milpitas"
Mediterranean,Monte Sereno,"Monte Sereno: Blackberry Hill, Daves Avenue, Montalvo Hills, Overlook"
Mediterranean,Morgan Hill,"Morgan Hill: Downtown Morgan Hill, East Dunne, Madrone, Paradise Valley, West Dunne"
Mediterranean,Mountain View,"Mountain View: Blossom Valley, Castro City, Cuesta Park, Moffett Federal Airfield, North Bayshore, Shoreline West"
Mediterranean,Palo Alto,"Palo Alto: Barron Park, College Terrace, Downtown North, Evergreen Park, Midtown, Professorville, University South"
Mediterranean,San Jose,"San Jose: Alum Rock, Berryessa, Cambrian Park, Evergreen, Japantown, Naglee Park, Rose Garden, Willow Glen"
Mediterranean,Santa Clara,"Santa Clara: Agnew, Central Park, Lawrence Station, Mission College, Santa Clara University"
Mediterranean,Saratoga,"Saratoga: Blue Hills, Brookside, Saratoga Village, Wildcat Ridge"
Mediterranean,Sunnyvale,"Sunnyvale: Lakewood, Mango, Murphy, Old Quad, Tasman Crossing"
Mediterranean,Atherton,"Atherton: Lindenwood, Lloyden Park, West Atherton"
Mediterranean,Belmont,"Belmont: Belmont Shores, Carlmont, Cipriani, Homestead, Nesbit"
Mediterranean,Brisbane,"Brisbane: Brisbane Acres, Crocker Park, Guadalupe Hills, Sierra Point"
Mediterranean,Burlingame,"Burlingame: Burlingame Hills, Downtown Burlingame, Easton Addition, Hillsborough Knolls, Terrace"
Mediterranean,Colma,"Colma: Colma Valley, Lawndale, Mission Road Corridor, Serramonte"
Mediterranean,Daly City,"Daly City: Bayshore, Crocker, Hillside, Westlake"
Mediterranean,East Palo Alto,"East Palo Alto: East Palo Alto Ravenswood, Menlo Park Acres, University Village"
Mediterranean,Foster City,"Foster City: Marlin Cove, Shell Ridge, Triton Shores"
Mediterranean,Half Moon Bay,"Half Moon Bay: Downtown Half Moon Bay, Miramar, North Wavecrest, Pilarcitos"
Mediterranean,Hillsborough,"Hillsborough: Black Mountain, Crocker, Skyfarm, West Hillsborough"
Mediterranean,Menlo Park,"Menlo Park: Belle Haven, Downtown Menlo Park, Felton Gables, Linfield Oaks, Sharon Heights"
Mediterranean,Millbrae,"Millbrae: Millbrae Meadows, Millbrae Station, Taylor Middle School"
Mediterranean,Pacifica,"Pacifica: Calera Creek, Fairmont, Rockaway Beach, Sharp Park, Vallemar"
Mediterranean,Portola Valley,"Portola Valley: Corte Madera, Ladera, Los Trancos Woods, Woodside Glens"
Mediterranean,Redwood City,"Redwood City: Centennial, Downtown Redwood City, Emerald Hills, Redwood Shores, Woodside Plaza"
Mediterranean,San Bruno,"San Bruno: Crestmoor, Downtown San Bruno, Huntington, Rollingwood"
Mediterranean,San Carlos,"San Carlos: Brittan Acres, Eaton Park, Laureola Park, Pulgas Ridge"
Mediterranean,San Mateo,"San Mateo: Baywood, Beresford, Central San Mateo, Hillsdale, North Central San Mateo, San Mateo Park"
Mediterranean,South San Francisco,"South San Francisco: Buri Buri, Downtown South San Francisco, El Camino Real, Westborough"
Mediterranean,Woodside,"Woodside: Emerald Hills, Kings Mountain, Woodside Heights, Woodside Glens"
Transitional,Alameda,"Alameda: ""Bay Farm Island, Fernside, Mastick, Park Street, Southshore, Webster Street"""
Transitional,Albany,"Albany: ""Albany Hill, Codornices Village, Dartmouth, El Cerrito Hills, Thousand Oaks"""
Transitional,Berkeley,"Berkeley: Bateman, Berkeley Hills, Claremont, Downtown Berkeley, Elmwood, Gourmet Ghetto, Halcyon, Hearst, Hopkins, Live Oak, Lorin, North Berkeley, Northwest Berkeley, Panoramic Hill, Poet's Corner, Southside, Westbrae"
Transitional,Dublin,"Dublin: Dougherty Valley, Dublin Ranch, Fallon Village, Positano Hills, Tassajara Crossing"
Transitional,Emeryville,"Emeryville: Emeryville Crescent, Emeryville Greenway, Emeryville Marina, Emeryville Warehouse District, Hollis Street District, Watergate"
Transitional,Fremont,"Fremont: Ardenwood, Centerville, Irvington, Niles, Northgate, Mission San Jose, Warm Springs"
Transitional,Hayward,"Hayward: Burbank, Fairview, Hayward Hills, Mount Eden, Palma Ceia, Tennyson Highlands, Winton"
Transitional,Livermore,"Livermore: Altamont, Downtown Livermore, East Livermore, North Livermore, Ruby Hill, South Livermore, Springtown"
Transitional,Newark,"Newark: Centerville, Lakeshore, Mayhews, Newpark, Thornton"
Transitional,Oakland,"Oakland: Adams Point, Chinatown, Dimond District, Downtown Oakland, East Oakland, Fruitvale, Grand Lake, Glenview, Hiller Highlands, Jack London Square, Lakeshore, Laurel District, Montclair, North Oakland, Piedmont Avenue, Rockridge, Temescal, Uptown Oakland, West Oakland"
Transitional,Piedmont,"Piedmont: Piedmont Pines, Piedmont Highlands, Piedmont Hills, Piedmont Meadow"
Transitional,Pleasanton,"Pleasanton: Bernal Avenue, Downtown Pleasanton, Hacienda Business Park, Kottinger Ranch, Laguna Oaks, Mohr Park, Ruby Hill, Stoneridge"
Transitional,San Leandro,"San Leandro: Broadmoor, Estudillo Estates, Heron Bay, Marina Faire, Mulford Gardens, Pelton Center, San Leandro Shoreline"
Transitional,Union City,"Union City: Alvarado, Decoto, Hillview Crest, Horner-Veasy, Searles"
Transitional,Ashland,"Ashland: Ashland Village, Cherryland, Fairmont Terrace, Fairmont Ridge, Fairmont Terrace, Fairview"
Transitional,Castro Valley,"Castro Valley: Castro Valley Canyonlands, Castro Valley Foothills, Castro Valley Knolls, Castro Valley Residential, Cull Canyon, Five Canyons, Palomares Canyon, Proctor Canyon, Quail Canyon, Redwood Road Corridor, Seaview"
Transitional,Cherryland,"Cherryland: Cherryland Acres, Cherryland Estates, Cherryland Highlands, Cherryland Park, Cherryland Village"
Transitional,Fairview,"Fairview: Fairview Acres, Fairview Knolls, Fairview Meadows, Fairview Park, Fairview Terrace"
Transitional,Hillcrest Knolls,"Hillcrest Knolls: Hillcrest Knolls North, Hillcrest Knolls South"
Transitional,San Lorenzo,"San Lorenzo: Bohannon, Brannigan, Cherryland, Hesperian, Palomares, Redwood Shores, Springlake"
Transitional,Sunol,"Sunol: Sunol Glen, Sunol Junction, Sunol Valley"
Transitional,Campbell,"Campbell: Downtown Campbell, Hacienda, Orchard City, Pruneyard"
Transitional,Cupertino,"Cupertino: Cupertino Village, Monta Vista, Rancho Rinconada, Seven Springs, Vallco Park"
Transitional,Gilroy,"Gilroy: Downtown Gilroy, El Cerrito, Las Animas, Monterey Road Corridor, Pacheco Pass"
Transitional,Los Altos,"Los Altos: Country Club, Downtown Los Altos, Loyola Corners, Woodland Acres"
Transitional,Los Altos Hills,"Los Altos Hills: Byrne Park, Country Club, Fremont Hills, Westwind"
Transitional,Los Gatos,"Los Gatos: Almond Grove, Broadway, Downtown Los Gatos, Glenridge, Vasona Park"
Transitional,Milpitas,"Milpitas: Abel, Calaveras, Dixon Landing, Milpitas Town Center, Rancho Milpitas"
Transitional,Monte Sereno,"Monte Sereno: Blackberry Hill, Daves Avenue, Montalvo Hills, Overlook"
Transitional,Morgan Hill,"Morgan Hill: Downtown Morgan Hill, East Dunne, Madrone, Paradise Valley, West Dunne"
Transitional,Mountain View,"Mountain View: Blossom Valley, Castro City, Cuesta Park, Moffett Federal Airfield, North Bayshore, Shoreline West"
Transitional,Palo Alto,"Palo Alto: Barron Park, College Terrace, Downtown North, Evergreen Park, Midtown, Professorville, University South"
Transitional,San Jose,"San Jose: Alum Rock, Berryessa, Cambrian Park, Evergreen, Japantown, Naglee Park, Rose Garden, Willow Glen"
Transitional,Santa Clara,"Santa Clara: Agnew, Central Park, Lawrence Station, Mission College, Santa Clara University"
Transitional,Saratoga,"Saratoga: Blue Hills, Brookside, Saratoga Village, Wildcat Ridge"
Transitional,Sunnyvale,"Sunnyvale: Lakewood, Mango, Murphy, Old Quad, Tasman Crossing"
Transitional,Atherton,"Atherton: Lindenwood, Lloyden Park, West Atherton"
Transitional,Belmont,"Belmont: Belmont Shores, Carlmont, Cipriani, Homestead, Nesbit"
Transitional,Brisbane,"Brisbane: Brisbane Acres, Crocker Park, Guadalupe Hills, Sierra Point"
Transitional,Burlingame,"Burlingame: Burlingame Hills, Downtown Burlingame, Easton Addition, Hillsborough Knolls, Terrace"
Transitional,Colma,"Colma: Colma Valley, Lawndale, Mission Road Corridor, Serramonte"
Transitional,Daly City,"Daly City: Bayshore, Crocker, Hillside, Westlake"
Transitional,East Palo Alto,"East Palo Alto: East Palo Alto Ravenswood, Menlo Park Acres, University Village"
Transitional,Foster City,"Foster City: Marlin Cove, Shell Ridge, Triton Shores"
Transitional,Half Moon Bay,"Half Moon Bay: Downtown Half Moon Bay, Miramar, North Wavecrest, Pilarcitos"
Transitional,Hillsborough,"Hillsborough: Black Mountain, Crocker, Skyfarm, West Hillsborough"
Transitional,Menlo Park,"Menlo Park: Belle Haven, Downtown Menlo Park, Felton Gables, Linfield Oaks, Sharon Heights"
Transitional,Millbrae,"Millbrae: Millbrae Meadows, Millbrae Station, Taylor Middle School"
Transitional,Pacifica,"Pacifica: Calera Creek, Fairmont, Rockaway Beach, Sharp Park, Vallemar"
Transitional,Portola Valley,"Portola Valley: Corte Madera, Ladera, Los Trancos Woods, Woodside Glens"
Transitional,Redwood City,"Redwood City: Centennial, Downtown Redwood City, Emerald Hills, Redwood Shores, Woodside Plaza"
Transitional,San Bruno,"San Bruno: Crestmoor, Downtown San Bruno, Huntington, Rollingwood"
Transitional,San Carlos,"San Carlos: Brittan Acres, Eaton Park, Laureola Park, Pulgas Ridge"
Transitional,San Mateo,"San Mateo: Baywood, Beresford, Central San Mateo, Hillsdale, North Central San Mateo, San Mateo Park"
Transitional,South San Francisco,"South San Francisco: Buri Buri, Downtown South San Francisco, El Camino Real, Westborough"
Transitional,Woodside,"Woodside: Emerald Hills, Kings Mountain, Woodside Heights, Woodside Glens"
Tropical,Alameda,"Alameda: ""Bay Farm Island, Fernside, Mastick, Park Street, Southshore, Webster Street"""
Tropical,Albany,"Albany: ""Albany Hill, Codornices Village, Dartmouth, El Cerrito Hills, Thousand Oaks"""
